song,lyrics,year
All Of Me," Yes, all of me, why not take all of me baby Yes, can't you see? I'm no good without you Take my arms, I'll never use them Take my lips, I want to lose them Your goodbye left me with eyes that cry How can I go on dear without you? You took the part that once was my heart Why not take all of me All of me, now please take all of me Can't you see, I'm no good without you Take my lips, I'd rather lose them Take these arms, I'll never never never ever use them Your goodbye, left me with eyes that cry How can I, go on dear without you You took that part, what once was my heart So why not take all of me Baby please take all of me ",1929
Mack the Knife," Oh, the shark has pretty teeth, dear And he shows them, pearly white Just a jackknife has MacHeath, dear And he keeps it out of sight When the shark bites with his teeth, dear Scarlet billows start to spread Fancy gloves though wears MacHeath, dear So there’s not a trace, mmm of red On the sidewalk, Sunday mornin', baby Lies a body, oozin' life Someone sneakin' around the corner Is the someone, Mack the Knife? From a tugboat, by the river A cement bag's drooppin' down Yeah, the cement's just for the weight, dear Bet you Mack, he's back in town Looky here Louie Miller, disappeared, dear After drawing out his cash And MacHeath spends like a sailor Did our boy do somethin' rash? Sukey Tawdry, Jenny Diver Lotte Lenya, Sweet Lucy Brown Oh, the line forms on the right, dears Now that Mack, he's back in town Take it, Satch ",1929
Keepin' Out of Mischief Now," Keepin' out of mischief now I really am in love and how I'm through playin' with fire It's you whom I desire All the world can plainly see You're the only one for me I have told them in advance They can't break up our romance Livin' up to all my vows 'Cause I'm keepin' out mischief now Keepin' out of mischief now I really am in love and how I'm through playin' with fire It's you whom I desire All the world can plainly see You're the only one for me I have told them in advance They can't break up our romance Livin' up to all my vows 'Cause I'm keepin' out mischief Oh, yeah Keepin' out of mischief Oh, yeah Keepin' out of mischief now ",1930
Honeysuckle Rose," Say, I have no use for other sweets of any kind Baby since the day you came around But from the start I instantly made up my mind No sweeter sweetness can be found You so sweet, oh Pops! Can't be beat, you mean it! Nothing sweeter ever stood on feet, yes Every honeybee fills with jealousy When they see you out with me I don't blame them goodness knows Honeysuckle rose When you're passin' by flowers droop and sigh And I know the reason why You're much sweeter goodness knows Honeysuckle rose Say Pop say, don't buy sugar You just have to touch my cup You're my sugar It's sweet when you stir it up Said, when I'm taking sips from your tasty lips Seems the honey fairly drips You're confection goodness knows Honeysuckle rose ",1930
Back O' Town Blues, I had a woman Livin' way back o' town Yeah she treated me right Never let me down But I wasn't satisfied I had to run around Now she's gone and left me I'm worried as can be Oh I've searched this world all over Wonderin' where she could be I would ask that she forgive me And maybe she'll come back to me (But I doubt it) I'm lonesome an blue And I've learned a thing or two Oh fellas here's a tip I'm gonna pass on down to you Never mistreat your woman Cause it's gonna bounce right back on you ,1930
Did You Ever See a Dream Walking?," Something very strange and mystic happened to me Something realistic and as weird as can be Something that I feared, somehow is now endeared to me And what a funny feeling, odd and yet so true Did a thing like this ever happen to you? Did you ever see a dream walking? Well, I did Did you ever hear a dream talking? Well, I did Did you ever have a dream thrill you with, ""Will you be mine?"" Oh, it's so grand and it's too, too divine Did you ever see a dream dancing? Well, I did Did you a ever see a dream romancing? Well, I did Did you ever see heaven right in your arms, saying, ""I love you, I do"" Well, the dream that was walking and the dream that was talking And the heaven in my arms was you Did you ever see a dream walking? Well, I did Did you ever hear a dream talking? Well, I did Did you ever have a dream thrill you with, ""Will you be mine?"" Oh, it's so grand and it's too, too divine Did you ever see a dream dancing? Well, I did Did you a ever see a dream romancing? Well, I did Did you ever see heaven right in your arms, saying, ""I love you, I do"" Well, the dream that was walking and the dream that was talking And the heaven in my arms was you ",1932
The Christmas Song," Chestnuts roasting on an open fire Jack Frost nipping at your nose Yuletide carols being sung by the choir And folks dressed up like Eskimos Everybody knows a turkey and some mistletoe Help to make the season bright Tiny little tots with their eyes all aglow Will find it hard to sleep tonight They know that Santa's on his way He's loaded lots of toys and goodies on his sleigh And every mother's child is going to spy To see if reindeer's really know how to fly And so I'm offering this simple phrase To kids from one to ninety-two Although it's been said many times, many ways Merry Christmas to you And so I'm offering this simple phrase To kids from one to ninety-two Although it's been said many times, many ways Merry Christmas to you, Merry Christmas to you ",1932
Why Did I Always Depend On You?, Why did I always depend on you When I knew that you'd end In another's arms? As a rule I'm no fool But it seems where love's concerned There's no rule for a fool Who would let his heart be burned And you intended to fool me too That's no lie And you can't deny it's true From the start in my heart I knew what you'd do Why did I depend on you? ,1933
Some Other Spring," Some other spring I'll try to love Now I still cling To faded blossoms Fresh from worn Left chrushed and torn Like the love affair I mourn Some other spring When twilight falls Will the night bring Another to me? Not your kind But let me find It's not true that love is blind Sunshine's around me But deep in my heart it's cold as ice Love, once you've found me But can that story unfold twice? Some other spring Will my heart awake? Stirring to sing Love's magic music Then forget the old duet Love in some other spring? Spring? ",1933
Everything Happens for the Best, Always blue all in a mist It's plain as can be You're so mean to me But everything happens for the best You always play around You're running my heart so deep in the ground That O.K. everything happens for the best I loved you so madly Knew you would be true Now this thing has happened dear It's over all over because we're through So sorry dear it end this way Since the world begin The old folks say Everything happens for the best I loved you so madly Knew you would be true Now this thing has happened dear It's over all over because we're through So sorry dear it end this way Since the world begin The old folks say Everything happens for the best ,1933
"One, Two, Button Your Shoe", One two button your shoe Put on your coat and hat I'll play a game like that While I'm waiting for you Three tour open the door Hurry for heaven's sake I count each step you take While I'm waiting for you Five six my eyes are fixed On that picture of your charm Seven eight you're at the gate And you walk into my arms None ten kiss me again Tell me you get a thrill Just as I hope you will While I'm waiting for you ,1933
Born to Love," There's something that rules our destiny Right from the first day of our birth Altough you may not care for me You have your mission on this earth You were born to love Sure as you live Born with everything heaven could give You have eyes and they express Love at a glance You have lips who's tenderness Speak of romance Like a dream of love, lovely to see You're the angel of my destiny And to think that you have found Your place on earth only to be Born to love and be loved by me ",1933
Where Is the Sun?," Oh clouds above me Where are the birds that used to sing? Everything's wrong Oh where is their song of love? Where is the one Who said he loved me Far, like those clouds he used to bring Can it be true there's somebody new to love? Listen my heart Don't feel so bad Think of the kisses we knew You know my heart The moments we had Maybe he's missing them too Where is the sun? Oh clouds above me Don't lake the dreams to which I cling Where is the sun? Oh where is the one I love? ",1933
Dream of Life," My life was empty when you went away Even the blue skies above had turned gray But now that you've come back My dream of life is here to stay Those little quarrels that tore us apart Oh, gee, I can see They were wrong from the start But now that you've come back My dream of life is here to stay ",1933
Our Love Is Different," Our love is different dear It's like a mighty symphony I can feel its silver harmony Oh so tenderly, day by day Our love is different dear To me it's almost heavenly Let us guard it ever preciously Even jealously While we may A love like ours dear heart The angels send And as I know dear heart That it won't ever end For as the years roll by You'll learn my love for you is true And I'm sure I'll learn the same from you For our love is different dear A love like ours dear heart The angels send And as I know dear heart That is won't ever end For as the years roll by You'll learn my love for you is true And I'm sure I'll learn the same from you For our love is different dear ",1933
Long Gone Blues," Talk to me baby Tell me what's the matter now Tell me, baby what's the matter now? Are you tryin' to quit me, baby But you don't know how I've been your slave Ever since I've been your babe I've been your slave Ever since I've been your babe But before I see you go I see you in your grave I'm a good gal But my love is all wrong I'm a good gal But my love is all wrong I'm a real good gal But my love is gone ",1933
Who Wants Love?, Who wants love? Love is a joy we borrow Pay back in tears tomorrow So who wants love? Who wants love? Something to fill your heart with So very soon to part with So who wants love? Love is a dream of weaving Moonbeams in patterns rare Love is a child believing Stories of castles in the air So who wants love I'll go away without it I know too much about it Who wants love ,1933
I've Got My Love to Keep Me Warm, The snow is snowin' The wind is blowin' But I can weather the storm What do I care how much it may storm I've got my love to keep me warm I can't remember A worst December Just watch those icicles form What do I care if icicles form I've got my love to keep me warm Off with my overcoat Off with my gloves I need no overcoat I'm burning with love My heart's on fire The flame grows higher So I will weather the storm What do I care how much it may storm I've got my love to keep me warm My heart's on fire The flame grows higher So I will weather the storm What do I care how much it may storm I've got my love to keep me warm ,1933
Getting Some Fun Out of Life," When we want to love, we love When we want to kiss, we kiss With a little petting, we're getting Some fun out of life When we want to work. we work When we want to play, we play In a happy setting, we're getting Some fun out of life Maybe we do the right things Maybe we do the wrong Spending each day Just wending our way along When we want to sing, we sing When we want to dance, we dance You can do your betting, we're getting Some fun out of life Maybe we do the right things Maybe we do the wrong Spending each day Just wending our way along But when we want to sing, we sing When we want to dance, we dance You can do your betting, we're getting Some fun out of life ",1933
Them There Eyes," I fell in love with you the first time I looked into Them There Eyes And you have a certain lil cute way of flirtin' With Them There Eyes They make me feel so happy They make me feel so blue I'm fallin', no stallin' In a great big way for you My heart is jumpin', you've started somethin' With Them There Eyes You better look out lil brown eyes...if you're wise They sparkle They bubble They're gonna get you in a whole lot of trouble Oh baby...Them There Eyes I fell in love with you the first time I looked into You have a certain lil cute way of flirtin' They make me feel so happy They make me feel so blue fallin', no stallin' In a great big way for you My heart is jumpin', you've started somthin' With Them There Eyes You better look out lil brown eyes, if you're wise Sparkle Bubble Get you in a whole lot of trouble.. I'm lookin for the boy with the whisful eyes I fell in love.. With Them There Eyes ",1933
The Man I Love," Someday he'll come along The man I love And he'll be big and strong The man I love And when he comes my way I'll do my best to make him stay He'll look at me and smile I'll understand Then in a little while He'll take my hand And though it seems absurd I know we both won't say a word Maybe I shall meet him Sunday Maybe Monday, maybe not Still I'm sure to meet him one day Maybe Tuesday will be my good news day He'll build a little home That's meant for two From which I'll never roam Who would, would you And so all else above I'm dreaming of the man I love ",1933
Trav'lin' All Alone," I'm so weary and all alone Feel tired like heavy stone Trav'lin', trav'lin' all alone Who will see and who will care Bout this load that I must bear Trav'lin', trav'lin' all alone Prayers are said to heaven above 'bout my burdens,woes and love Head bowed down with misery Nothing now appeals to me Trav'lin', trav'lin' all alone Give me just another day There's one thing I want to say Friends are well when all is gold Leave you always when you're old Trav'lin', trav'lin' all alone ",1933
Let's Call the Whole Thing Off," You say either And I say either You say neither And I say neither Either, either, neither, neither Let's call the whole thing off You like potatoes And I like potatoes You like tomatoes And I like tomatoes Potatoes, potatoes, tomatoes, tomatoes Let's call the whole thing off But oh, if we call the whole thing off Then we must part And oh, if we ever part Then that might break my heart So it you like pajarnas and I like pajamas I'll wear pajamas and give up pajamas For we know we need each other So we'd better call the calling off, off Let's call the whole thing off So if you go for oysters And I go for oysters I'll order oysters and cancel the oysters For we know we need each other So we'd better call the calling off, off Let's call the whole thing off ",1933
When a Woman Loves a Man," Maybe he's not much, just another man Doing what he can But what does she care When a woman loves a man She'll just string along All through thick and thin Till his ship comes in It's always that way When a woman love a man She'll be the first one to praise him When he's goin' strong The last one to blame him When everything's wrong It's such a one-sided game that they play But women are funny that way Tell her she's a fool She'll say yes, I know But I love him so And that's how it goes When a woman loves a man Tel I her she's a fool She'll say yes, I know But I love him so And that's how if goes When a woman loves a man ",1933
Let's Call a Heart a Heart, When we're in a friendly situation My conversation may not be smart But if we're to have a perfect understanding Let's call a heart a heart There are words that should be whispered gent@y That's evidently the way to start If I tell you what my dreams have been demanding Let's call a heart a heart Can I prove how I yearn Just by the turn of a phrase Can I keep my control When all my soul is aflame Maybe we'd call a true confession And in discretion on someone's part But if I'm to say how madly I adore you Let's call a heart a heart ,1933
Body and Soul," You're making me blue All that you do Seems unfair You try not to hear Turn a deaf ear To my prayer It seems you don't want to see What you are doing to me My arms are waiting to caress you And to my heart they long to press you, sweet heart My heart is sad and lonely For you I cry For you, dear, only I tell you I mean it I'm all for you Body and soul I spend my days in longing And wondering it's me you're wronging Why haven't you seen it? I'm all for you Body and soul I can't believe it It hard to conceive it That you'd turn away romance Are you pretending? Don't say it's the ending I wish I could have one more change to prove, dear My life a hell you're making You know I'm yours for just the taking I'd gladly surrender Myself to you Body and soul Life's dreary for me Day's seem to be long as years I've looked for the sun But can see none Through my tears Your heart must be like a stone To leave me like this alone When you could make my life worth living By taking what I'm set on giving, sweet heart My heart is sad and lonely For you I cry For you, dear, only I tell you I mean it I'm all for you Body and soul ",1933
Am I Blue?," Am I blue, am I blue Ain't these tears in my eyes telling you Am I blue, you'd be too If each plan with your man done fell through Was a time I was his only one But now I'm the sad and lonely one, lonely Was I gay till today Now he's gone and we're through, am I blue Was I gay till today Now he's gone and we're through, am I blue Oh he's gone, he left me, am I blue ",1933
On The Sunny Side Of The Street," Grab your coat and grab your hat baby Leave your worries on the doorstep Just direct your feet On the sunny side of the street Can't you hear that pitter-pat there? That happy tune is yours now Life can be so sweet On the sunny side of the street I used to walk in the shade With those blues on parade But I'm not afraid baby My rover, crossed over If I never have a cent I'll be rich as Rockefeller With gold dust at my feet On the sunny side of the street ",1934
Am I Blue?," Am I blue, am I blue Ain't these tears in my eyes telling you Am I blue, you'd be too If each plan with your man done fell through Was a time I was his only one But now I'm the sad and lonely one, lonely Was I gay till today Now he's gone and we're through, am I blue Was I gay till today Now he's gone and we're through, am I blue Oh he's gone, he left me, am I blue ",1935
I've Got My Love to Keep Me Warm, The snow is snowin' The wind is blowin' But I can weather the storm What do I care how much it may storm I've got my love to keep me warm I can't remember A worst December Just watch those icicles form What do I care if icicles form I've got my love to keep me warm Off with my overcoat Off with my gloves I need no overcoat I'm burning with love My heart's on fire The flame grows higher So I will weather the storm What do I care how much it may storm I've got my love to keep me warm My heart's on fire The flame grows higher So I will weather the storm What do I care how much it may storm I've got my love to keep me warm ,1936
Honeymoon Blues," Betty Mae, Betty Mae, you shall be my wife someday Betty Mae, Betty Mae, you shall be my wife someday I wants a little sweet girl, that will do anything, that I say Betty Mae, you is my heartstring, you is my destiny Betty Mae, you is my heartstring, you is my destiny And you rolls across my mind, baby, each and every day Lil' girl, lil' girl, my life seem so misery Hmm hmm, little girl, my life seem so misery Baby, I guess it must be love, now, hoo mm, Lord that's takin' effect on me Some day I will return, with the1 marriage license in my hand Some day I will return, hoohoo, with a marriage license in my hand I'm gon' take you for a honeymoon, in some long, long distant land ",1936
Let's Call a Heart a Heart, When we're in a friendly situation My conversation may not be smart But if we're to have a perfect understanding Let's call a heart a heart There are words that should be whispered gent@y That's evidently the way to start If I tell you what my dreams have been demanding Let's call a heart a heart Can I prove how I yearn Just by the turn of a phrase Can I keep my control When all my soul is aflame Maybe we'd call a true confession And in discretion on someone's part But if I'm to say how madly I adore you Let's call a heart a heart ,1936
"One, Two, Button Your Shoe", One two button your shoe Put on your coat and hat I'll play a game like that While I'm waiting for you Three tour open the door Hurry for heaven's sake I count each step you take While I'm waiting for you Five six my eyes are fixed On that picture of your charm Seven eight you're at the gate And you walk into my arms None ten kiss me again Tell me you get a thrill Just as I hope you will While I'm waiting for you ,1936
The Man I Love," Someday he'll come along The man I love And he'll be big and strong The man I love And when he comes my way I'll do my best to make him stay He'll look at me and smile I'll understand Then in a little while He'll take my hand And though it seems absurd I know we both won't say a word Maybe I shall meet him Sunday Maybe Monday, maybe not Still I'm sure to meet him one day Maybe Tuesday will be my good news day He'll build a little home That's meant for two From which I'll never roam Who would, would you And so all else above I'm dreaming of the man I love ",1936
They're Red Hot," Hot tamales and they're red hot, yes she got'em for sale Hot tamales and they're red hot, yes she got'em for sale I got a girls, say she long and tall She sleeps in the kitchen with her feets in the hall Hot tamales and they're red hot, yes she got'em for sale, I mean Yes, she got'em for sale, yeah Hot tamales and they're red hot, Yes she got'em for sale Hot tamales and they're red hot, yes she got'em for sale She got two for a nickel, got four for a dime Would sell you more, but they ain't none of mine Hot tamales and they're red hot, yes she got'em for sale, I mean Yes, she got'em for sale, yes, yeah Hot tamales and they're red hot, Yes she got'em for sale Hot tamales and they're red hot, yes she got'em for sale I got a letter from a girl in the room Now she got something good she got to bring home soon, now Its hot tamales and they're red hot, yes she got em for sale, I mean Yes, she got'em for sale, yeah Hot tamales and they're red hot, Yes she got em for sale Hot tamales and they're red hot, yes she got em for sale (They're too hot boy!) The billy got back in a bumble bee nest Ever since that he can't take his rest, yeah Hot tamales and they're red hot, yes you got'em for sale, I mean Yes, she got'em for sale Hot tamales and they're red hot, Yes she got'em for sale (Man don't mess around em hot tamales now Cause they too black bad, if you mess around em hot tamales I'm onna upset your backbone, put your kidneys to sleep I'll due to break away your liver and dare your heart to beat bout my) Hot tamales cause they red hot, yes they got em for sale, I mean Yes, she got em for sale, yeah Hot tamales and they're red hot, Yes she got'em for sale Hot tamales and they're red hot, yes she got'em for sale You know grandma left and grandpa too Well I wonder what in the world we chillun gon do now Hot tamales and they're red hot, yes she got'em for sale, I mean Yes she got'em for sale Hot tamales and they're red hot, Yes she got'em for sale Hot tamales and they're red hot, yes she got'em for sale Me and my babe bought a V-8 Ford Well we wind that thing all on the runnin board, yes Hot tamales and they're red hot, yes she got'em for sale, I mean Yes she got'em for sale, yeah Hot tamales and they're red hot, Yes she got'em for sale They're too hot boy! Hot tamales and they're red hot, yes, now she got em for sale You know the monkey, now the baboon playin in the grass Well the monkey stuck his finger in that old 'Good Gulf Gas', now Hot tamales and they're red hot, yes she got'em for sale, I mean Yes she got'em for sale, yeah Hot tamales and they're red hot, Yes she got'em for sale Hot tamales and they're red hot, yes she got'em for sale I got a girls, say she long and tall Sleeps in the kitchen with her feets in the hall Hot tamales and they're red hot, yes she got'em for sale, I mean Yes she got'em for sale, yeah ",1936
Christmas In Killarney," The holly green, the ivy green The prettiest picture you've ever seen Is Christmas in Killarney With all of the folks at home It's nice, you know, to kiss your beau While cuddling under the mistletoe And Santa Claus you know, of course Is one of the boys from home The door is always open The neighbors pay a call And Father John before he's gone Will bless the house and all How grand it feels to click your heels And join in the fun of the jigs and reels I'm handing you no blarney The likes you've never known Is Christmas in Killarney With all of the folks at home ",1945
Mother Goose Songs, As I did walk by Hampstead Fair I came upon Mother Goose - so I turned her loose She was screaming And a foreign student said to me Was it really true there are elephants and lions too In Piccadilly Circus? Walked down by the bathing pond To try and catch some sun Saw at least a hundred schoolgirls sobbing Into handkerchiefs as one I don't believe they knew I was a schoolboy And a bearded lady said to me If you start your raving and your misbehaving You'll be sorry Then the chicken-fancier came to play With his long red beard (and his sister's weird: She drives a lorry) Laughed down by the putting green I popped 'em in their holes Four and twenty labourers were labouring Digging up their gold I don't believe they knew That I was Long John Silver Saw Johnny Scarecrow make his rounds In his jet-black mac (which he won't give back) Stole it from a snowman ,1949
Mambo Italiano," (A boy went back to Napoli because he missed the scenery) (The native dances and the charming songs) (But wait a minute something's wrong) ('Cause now it's) Hey mambo, mambo Italiano hey hey mambo mambo Italiano Go go go you mixed up Siciliano All you Calabrese do the mambo like-a crazy with the Hey mambo don't wanna tarantella Hey mambo no more mozzarella Hey mambo mambo Italiano try an enchilada with a fish baccala Hey goomba I love how you dance the rumba But take some advice paisano learn-a how to mambo If you're gonna be a square you ain't-a gonna go nowhere Hey mambo mambo Italiano hey hey mambo mambo Italiano Go go Joe shake like a Giovanno E lo che se dice you get happy in the feets a when you Mambo Italiano Hey chadrool you don't-a have to go to school Just make it with a big bambino It's like vino Kid you good-a looking but you don't-a know what's cooking 'til you Hey mambo mambo Italiano Hey hey mambo mambo Italiano Ho ho ho you mixed up Siciliano E lo che se dice you get happy in the feets a when you Mambo Italiano ",1954
John Henry," John Henry he could hammer, He could whistle, he could sing He went to the mountain early in the mornin' Just to hear his hammer ring, Lord, Lord Just to hear his hammer ring. Just to hear his hammer ring, Lord, Lord Just to hear his hammer ring. When John Henry was a little baby, Sittin' on his daddy's knee He picked up a hammer, a little piece of steel, Said hammer be the death of me, Lord, Lord Said hammer be the death of me Said hammer be the death of me, Lord, Lord Said hammer be the death of me When John Henry's fam'ly needed money, Said he didn't have but a dime If you wait 'til the red sun goes down I'll get it from the man in the mine, Lord, Lord I'll get it from the man in the mine I'll get it from the man in the mine, Lord, Lord I'll get it from the man in the mine Well John Henry went to the Captain Said the captain, what can you do I can hoist a jack, I can lay a track I can pick and shovel too, Lord, Lord I can pick and shovel too I can pick and shovel too, Lord, Lord I can pick and shovel too Well the captain said to John Henry, Gonna bring me a steam drill 'round Gonna bring me a steam drill out on the job Gonna whup that steel on down, Lord, Lord Whup that steel on down Well John Henry said to the captain, Oh a man ain't nothin' but a man 'Fore I'd let your steam drill beat me down, I'd die with my hammer in my hand, Lord, Lord Die with my hammer in my hand Well John Henry said to the captain, Looka yonder what I see, Hole done choke, drill done broke, And you can't drive steel like me, Lord, Lord Can't drive steel like me Oh no, you can't drive steel like me, no no Can't drive steel like me Well John Henry drove into the mountain, His hammer was strikin' fire He drove so hard he broke his poor heart And he laid down his hammer and he died, Lord, Lord Laid down his hammer and he died He laid down his hammer and he died, Great God Laid down his hammer and he died Oh they took John Henry to the White House And they buried him in the sand Every locomotive come roarin' by Says there lies a steel drivin' man, Lord, Lord There lies a steel drivin' man Says there lies a steel drivin' man, Lord, Lord There lies a steel drivin' man Shaker why don't you sing, I'm throwin' twelve pounds from my hips on down, Just listen to the cold steel ring, Just listen to the cold steel ring Well the Captain says to John Henry I believe this mountains cavin' in John Henry said to the Captain, 'T ain't nothin' but my hammer suckin' wind, 'T ain't nothin' but my hammer suckin' wind The man that invented the steamdrill, Thought he was mighty fine, John Henry made his fifteen feet, The steamdrill only made nine, The steamdrill only made nine Well John Henry had a little woman, And her name was Polly Ann ",1954
Man Piaba," When I was a lad of three-foot-three Certain questions occurred to me, So I asked me father quite seriously To tell me the story 'bout the bird and bee. He stammered and he stuttered pathetically And this is what he said to me. He said, ""The woman piaba and the man piaba and the Ton Ton call baka lemon grass, The lily root, gully root, belly root uhmm, And the famous grandy scratch scratch. It was clear as mud but it covered the ground And the confusion made the brain go 'round. I went and ask a good friend of mine, Known to the world as Albert Einstein. He said ""Son, from the beginning of time and creativity There existed the force of relativity Pi r square and a minus ten means a routine only when The solar system in one light year Make the Hayden planetarium disappear So if Mt Everest doesn't move I am positive that it will prove That the woman piaba and the man piaba And the Ton Ton call baka lemon grass, The lily root, gully root, belly root uhmm, And the famous grandy scratch scratch. It was clear as mud but it covered the ground And the confusion made the brain go 'round. I grabbed a boat and went abroad In Baden Baden asked Sigmund Freud He said ""Son, from your sad face remove the grouch Put the body down up on the couch I can see from your frustration a neurotic sublimation Hey love and hate is psychosomatic Your Rorsach shows that you're a peri pathetic It all started with a broken sibling In the words of the famous Rudyard Kipling That the woman piaba and the man piaba And the Ton Ton call baka lemon grass, The lily root, gully root, belly root uhmm, And the famous grandy scratch scratch. Well I traveled far and I traveled wide And I don't even have me self a bride All the great men upon this earth Have confused me since my birth I've been over land and been over sea Trying to find answer 'bout the bird and bee But now that I am ninety three I don't give a darn you see If the woman piaba and the man piaba And the Ton Ton call baka lemon grass, The lily root, gully root, belly root uhmm, And the famous grandy scratch scratch ",1954
