song,lyrics,year
If I Only Had the Nerve," See those people there? They look after me This is a photograph of who I might be Man in a uniform, bride on his arm Mum always was a fool for money and charm He's been talkin' in his sleep again Sayin' he's sorry, callin' my name Sayin' how he's so ashamed Alone again in the lap of luxury Since it happened I had nothin' to say It used to bother them but now it's okay Mother cleans his dreadful house every day Scrubbing at the stains that won't go away They sent me away to the school in the park They said it would be good for me I still hear the other kids cry in the dark Alone again in the lap of luxury Is there no escape from the lap of luxury I don't remember the last time I cried I don't remember much except lies See the little girl spirallin' down This is a photograph of who she is now ""One day this will all be yours"" he said Tidy your room and straight to bed Tidy up those thoughts in your head Alone again in the lap of luxury I could be anywhere right now If I only had the nerve to leave this house Maybe somewhere by the sea Take me somewhere, anywhere please! We could make a pillow of sand and sleep We could roll We could make We could see We could scream Far, Father, Farthest Oh daddy, you do not do anymore For God's sake don't pretend to be concerned Turn into nightmares in the end Throw a party for all my friends You give up hope You settle down With your favourite soap Now wash your hands ",1939
The Merry Old Land of Oz," Ha - ha - ha, Ho - ho - ho And a couple of tra - la - las That's how we laugh the day away, In the Merry Old Land of Oz! Bzz - bzz - bzz, Chirp - chirp - chirp And a couple of La - di - das That's how the crickets crick all day, In the Merry Old Land of Oz! We get up at twelve and start to work at one. Take an hour for lunch and then at two we're done. Jolly good fun! Ha - ha - ha, Ho - ho - ho And a couple of tra - la - las That's how we laugh the day away, In the Merry Old Land of Oz! We get up at twelve and start to work at one. Take an hour for lunch and then at two we're done. Jolly good fun! Ha - ha - ha, Ho - ho - ho And a couple of tra - la - las That's how we laugh the day away, In the Merry Old Land of Oz! In the Merry Old Land of Oz! ",1939
Big Fat Woman," dashing through these hos, cadillac's and sixty 'fo's, on three wheels we go, clocking lots of doe, Cellphone ringtone ring, my song ""Because I Got High"", smoking weed while I watch, the police flying by! Oh, jinglebell, East Palmdale Jobe is back and not whack, Oooh found your daughter and you finally caught 'er and you mad 'cuz I'm black, ahaha I fucked her good, just like I should, I think I blew her balloon, I didn't use a condom and now we have a problem: she havin' my baby in June (say what?!) I know this holiday hooker, I think her name is Jan, and if you 'aint got no money (hell yeah), she's got a layaway plan, I got a blowjob from her friend, I think her name is Gwen, my dick plugged up her mouth; she couldn't get no oxygen! Oh jinglebell, county jail, Jobe's from the hood, skinny women suck my dick real good but their butt cheeks feel like wood (ouch!) I be swimmin, in big fat women, when I'm in the sack (ooh!) why have a skinny little bicycle bitch when I can ride a Cadillac?! I met this beautiful woman, she said she was Hawaiian, she said she didn't like black guys, however she was lyin' she'd seen my go detonas, all my coupes and cash, she licked my hairy balls, like chocolate coconuts! Oh, jinglebell, shotgun shell, sheriff got a gun, he pulled the trigger, shot that nigger look at that mo' fucka run! hit 'im in the head kicked him in the ass, put a kneecap in his chest, went to the court, and told the judge, ""This man was resisting arrest!"" ",1939
As Mayor of the Munchkin City," Ding Dong! The Witch is dead. Which old Witch? The Wicked Witch! Ding Dong! The Wicked Witch is dead. Wake up - sleepy head, rub your eyes, get out of bed. Wake up, the Wicked Witch is dead. She's gone where the goblins go, Belowhoo - below. Yo-ho, let's open up and sing and ring the bells out. Ding Dong' the merry-oh, sing it high, sing it low. Let them know The Wicked Witch is dead! as mayor of the munchkind city in the county of the land of oz, I welcome you most gleefully, but we've got to veryify if legally to see to see if she if she is morally, ethically, spirtiually, physically, positively, abosolutely undenially unreliably dead. As cornoner I vouch for her I thoughrouly examined her and she's not only really dead, she's really most sincerely dead. and this is a day of independance, for all the munchinks and there decendants. Symphany yes lets the joyous news be spread the wicked old witch at last is dead. Ding Dong! The Witch is dead. Which old Witch? The Wicked Witch! Ding Dong! The Wicked Witch is dead. Wake up - sleepy head, rub your eyes, get out of bed. Wake up, the Wicked Witch is dead. She's gone where the goblins go, Belowhoo - below. Yo-ho, let's open up and sing and ring the bells out. Ding Dong' the merry-oh, sing it high, sing it low. Let them know The Wicked Witch is dead! ",1939
The Merry Old Land Of Oz," Ha - ha - ha, Ho - ho - ho And a couple of tra - la - las That's how we laugh the day away, In the Merry Old Land of Oz! Bzz - bzz - bzz, Chirp - chirp - chirp And a couple of La - di - das That's how the crickets crick all day, In the Merry Old Land of Oz! We get up at twelve and start to work at one. Take an hour for lunch and then at two we're done. Jolly good fun! Ha - ha - ha, Ho - ho - ho And a couple of tra - la - las That's how we laugh the day away, In the Merry Old Land of Oz! We get up at twelve and start to work at one. Take an hour for lunch and then at two we're done. Jolly good fun! Ha - ha - ha, Ho - ho - ho And a couple of tra - la - las That's how we laugh the day away, In the Merry Old Land of Oz! In the Merry Old Land of Oz! ",1939
The Salesman," Loss assuming Well see how you do Make me an offer No one can refuse Just recognize me! I know that you can And you're looking thru me Come on I act like a man but I'm living like a dog (No nothing to see, Nothing to keep, Nowhere to be) I'm living like a dog (No nothing to keep, Nowhere to sleep, Nothing to see) I'm living like a dog They're living alone Let it die let it be Are you feeling down on yr luck? I'll come down from the ceiling Down to yr knees Wherever you want I'm living like a dog Yeah leave it alone Let it die let it be Are you feeling down on yr luck? I'll come down from yr ceiling Drop down to yr knees Do whatever you please Just recognize the fact that Ill come back and leave it up to you Just recognize me recognize me recognize me recognize me recognize me recognize me recognize me recognize me recognize me! recognize me! recognize me! recognize me! now ",1939
Finálé, I've said everything I could feel Think everything I could think Heard every word without listening I'm a dick ,1939
A Different Slant," See you've got the new biography Where did they get the info from Same as before some, so called friends Who claim to have, known me then How come they've got such good memories And I can't even remember last week Got to queston where they're coming from What knowledge of me is it that they speak So far away, way back when The people that claim, to have known me then Not on my wavelength and it's such a shame That they have to play the name game The fame game, oh the name game, Lord it's a cryin' shame Lord tell me what's to blame Reinvented all the stories they know Give them all a different slant What is it that they're really looking for Just a hobby on the internet So far away, way back when The people that claim, to have known me then Not on my wavelength and it's such a shame That they have to play the name game The fame game, the name game, Oh it's such a cryin' shame, tell me who's to blame If they didn't really know me way back How can they know me now, in any respect It's a pity they don't feel the pain That they should pay the price to play, to play The fame game, the name game It's such a cryin' shame, please tell me who's to blame Not on my wavelength and it's such a shame That they have to play, have to play the fame game Oh the name game, it's a cryin' shame Please tell me who's to blame They keep on playin' The fame game, oh the name game It's such a cryin' shame, please tell me who's to blame Keep on playin' the fame game Lord, the name game, its such a cryin' shame Please tell me who's to blame They just keep on playin' the fame game Oh the name game, its such a cryin' shame Please tell me who's to blame Keep on, keep on playin'.. ",1939
Riding the Rods," How long, baby how long, Has that evening train been gone? How long, How how long, Baby how long? Went to the station, didn't see no train. Down in my heart, I have an aching pain. I feel disgusted, I feel so bad Thinking 'bout the good time that I once have had. I could see the green grass growing on the hill; I ain't seen no greenback on a dollar bill. You're gonna be sorry, you'll feel so blue. When you want me, baby, I declare I won't want you. Don't have no money for to ride the train. I would ride the rods, baby, to be with you again. How long, baby how long Must I keep my, my watch in pawn? ",1939
My Wife And I,,1939
Smile With Me At Me," Closer to me, Let that look in your eye Say that love making love is really on your mind Then you smile at me And I know that love is in the makin' Lovely lady Looks at me, I get high And some earthshakin' love is really on my mind Then you smile at me And I know it's there for the takin' Lovely lady loves to smile And a smile is in her eyes Lady lets me know It's time for love by smilin' Closer to me, Let that look in your eye Say that love making love is really on your mind Then you smile at me And I know that love is in the makin' Lovely lady Looks at me, I get high And some earth shakin' love is really on my mind Then you smile at me And I know it's there for the takin' Lovely lady loves to smile And a smile is in her eyes Lady lets me know It's time for love by smilin' ",1939
Fired Again,,1939
Beer Barrel Polka," There's a garden, what a garden Only happy faces bloom there And there's never any room there For a worry or a gloom there Oh there's music and there's dancin' And a lot of sweet romancin' When they play the polka They all get in the swing Every time they hear that oom-pa-pa Everybody feels so tra-la-la They want to throw their cares away And (Polish) ''Loopde shpay devashteva"" Then they hear a rumble on the floor It's the big surprise they're waitin' for And all the couples form a ring Und miles around you'll hear them sing Roll out the barrel, we'll have a barrel of fun Roll out the barrel, we've got the blues on the run Sing boom tararrei, sing out a song of good cheer Now's the time to roll a barrel, cause the gang's all here La-la-la-la-la, la-la-la-la-la-la-la Hey, hey, hey La-la-la-la-la, la-la-la-la-la-la-la Hey, hey, hey La-la-la-la-la, la-la-la-la-la-la-la Now's the time to roll a barrel, cause the gang's all here La-la-la-la-la, la-la-la-la-la-la-la Hey, hey, SHAKE! La-la-la-la-la, la-la-la-la-la-la-la Hey, hey, hey La-la ... ",1939
The Unbeliever," When you start to take a look within Do you feel at ease with what you see Do you think you can have peace of mind And have self-belief or be satisfied Do you think you even like yourself Or really think you could be someone else Is there something that you'd rather be Never thought you'd be had the chance to see All my life I've run away All my life I tried to hide away Feel the paranoia creeping in Like a cancer eating at the skin Do you feel you've lost your self-esteem And your self respect, what can you expect All my life...I've run away All my life I tried to hide away All my life...I've run astray Let my faith...slip away All my life...I've run astray Allowed my faith...to drift away Are you scared to look inside your mind Are you worried just at what you'll find Do you really want to face the truth Does it matter now, what have you got to lose Try to release the anger from within Forgive yourself a few immortal sins Do you really care what people think Are you strong enough to release the guilt All my life...I've run away All my life I tried to hide away All my life...I've run astray Let my faith...slip away All my life...I've run astray Allowed my faith...to drift away ",1939
An Artist's Concept," Today a new moon is in the sky: a 23-inch metal sphere placed in orbit by a Russian rocket. Here an artist's conception of how the feat was accomplished - a three-stage rocket. Number one, the booster in the class of an intercontinental missile; its weight estimated at 50 tons. A smaller second-stage took over at 5, 000 miles-an-hour and carried on to the highest point reached. Five hundred miles up, the artificial moon is boosted to a speed counterbalancing the pull of gravity and released Iron head, iron spears Spread out from sides away Shiny globe without fears Flies over skies again Soviet star first of all Was in the boundless space But what if it's sign of call The first assigned phrase? Sputnik, Sputnik The signal from the other ones Sputnik, Sputnik They hadn't any red stars Sputnik, Sputnik The greetings from above Sputnik, Sputnik Alien tapering throw Iron blades, iron grim They're now awaiting us Shining alien warrior trim Or maybe they're amidst us Poor primates, prepare to lay They need our planet's air For thousand years you'll be a clay For those years here's their lair Sputnik, Sputnik The signal from the other ones Sputnik, Sputnik They hadn't any red stars Sputnik, Sputnik The greetings from above Sputnik, Sputnik Alien tapering throw Earth people, look upside and you'll see They are here ",1939
Spiritual Experience," (A duration of an earthly existance) (A specific phase of earthly existance) (A sentence of imprisonment with the remaining quotient of a convicts existance) (Life is a sequence of musical and mental experiences that make up the existance of an individual) A sister wants a brother Always trying to please another Young girls wish that they were old A petal wants to be its own rose See life has such funny ways But don't regret you came See life is always changing Yet life remains the same So much to gain... To win...to lose...to try Oh yeah, it's all a part of life To heal...to feel...to be real Oh yeah, it's all a part of life (Life, your life) Empty pages will find words someday (someday) A perfect person will disobey You may never find true love Why must one be taken advantage of... See life has such funny ways But don't regret you came See life is always changing Yet still remains the same So much to gain To win...to lose...to try Oh yeah, it's all a part of life To laugh...to cry...to never Oh yeah, it's all a part of life To learn...to hope...to dream...to cope To heal...reveal...to feel...to be real It's all a part of life Oh no, not without a fight I won't give up...I won't give up Don't give up Don't give up Sequence of physical and spiritual experience Don't give up Vital and functional - distinctly individual Don't give up Pattern of principal existing in reality Don't give up Of or relating to the animal mentality Don't ",1939
Line Em'," Thank you ladies and gentlemen! Hold your applause J'yeah, holla! Its bout to go down, shut em down! Just Blaze, Freeway! Young Chris! Young Guru! The Roc is definately in the building! J'yeah! uh, holla! uh oh! uh oh! uh oh! uh! J'yeah, listen, if the rhymes stop dumpin and beats stop knockin then Free still fuckin with Beans R-U to the G-S, manuver the ve throughout the U.S. with two teks of keys one start up your whip and the other start up your block retarded just like a Carter El Nino come take a sniff or take a few of you like the glass zit Stick shit in your artery ooouuu Hustlin's a part of me Niggas retardin me Come at the team wrong its like a see-saw They down and we up The pound heat clowns up I'm moving and re-up teks, blocks and keep gon' ?? and cocks like a school bus (why?) It make stops and it picks kids up and it wake up the block really early in the mornin Word, niggas want drama? Then line em up! Uh uh uh Line em up! Uh uh uh Line em up! Uh uh Line em up! I, I shut em down! Listen, if the coke stop jumpin and the block stop poppin Then Free still fuckin with Schi! M to the is-ash, come down with the gat take your sti-ash and kidnap your keeps One, puff in my face and the other go in your face Reatrded? This is a stick up if you slow then pick up the pace I came to take everything out your safe and even snatch all your jewelry (oouuu) Robbins a part of me, you just oughta be singin the same song when money low Ain't no parameters, snatch chains even honeys know amateurs get state green's and hit with 24 months From playin the game long, the eight long Make pockets short snatch hair and bones weight They been taking from us for too long it ain't wrong Line em up and I jam em all yo! They want a war with the Roc? OKAY! Cases catch 'em and beat 'em like O.J. I been stretchin my d's since the O'Jays Before I met Beans and Free, before Jay Homie, Pops never was there so I hustled 24 7 like the cops never was there Yeah, fuck a box cause the metal was there Fuck the cops cause the Fed's was paid I been settled for years, I'm ahead of my years Tuck the glock come pedal with K's We can settle it here We run with this beef, we runnin his peeps Like five in the mornin while they under them sheets (wake up) Like five gats drawn, soldiers come out they sleep Tell me what they gon' tell me when the gun out they reach Homie, we ain't gotta cheat Y'all ain't stopping Sig Young Gunner startin p. guard from State Property ",1939
"Baby, Won't You Please Come Home"," Baby won't you please come home? 'Cause your daddy's all alone I have tried in vain Never no more to call your name When you left you broke my heart Because I never thought we'd part Every hour in the day you will hear me say ""Baby come home"" Baby won't you please come home? Because your daddy's so alone I have tried in vain Never no more to ever call your name When you left you broke my heart Because I never thought we'd part Every hour in the day you will hear me say ""Baby come on home"", daddy needs baby Baby won't you please come home? ",1939
A Close Shave," I'm sick, demented I came unrepresented I rose from the grave I had a close shave The cops tried to lock me down 'Cause the Glock they found Was stolen That's how I'm rollin' Calvin Klein's No friend of mine So I don't like Marky Or the monarchy Don't start me up like a Rollin' Stone I leave you sulkin' Like Macaulay Culkin In Home Alone So Get A Grip Like Stephen Tyler I used to trip With the Divine Styler Back in the days There were Irish ways And Irish laws to stand up for the cause When it's time to rock a funky joint I'm on point When it's time to rock a funky jam I'm the man Well it's the D to the A, double N Y BO Y 'cause I rock shit like Ronnie Dio It's a black day of rest Quick run get your vest I'm down with the Hill 'Cause I still got the skill To turn the party out It's all about the skyscraper Your girl caught the vapors So I might videotape her I make a lot of the paper So I don't have to scrape the Bottom of the barrel I rock fly apparel Now I could pull you car Starting up the Harley Davidson I got the gun So the drama you could save it Well it's the mad bum rushin' Funky with percussion From L.A. to Flushing I get your girlie blushin' I'll cutcha' like the butcher But it and Joe the writer The old rock a loop 'Cause I'm super like Schneider I'm ill, retarded So don't ya get me started I might lose my cool Ya lose if we duel 'Cause I can stomp a hole In the sole of a monk With the rhymes in my head And the beats in my trunk I got the skill kid And I'm gonna' milk it For all it's worth I'm gettin' mines on earth So step to the next head Or like Sadat X said He's gone And that's it's supposed to be Don't stand so close to me ",1939
Line Em'," Thank you ladies and gentlemen! Hold your applause J'yeah, holla! Its bout to go down, shut em down! Just Blaze, Freeway! Young Chris! Young Guru! The Roc is definately in the building! J'yeah! uh, holla! uh oh! uh oh! uh oh! uh! J'yeah, listen, if the rhymes stop dumpin and beats stop knockin then Free still fuckin with Beans R-U to the G-S, manuver the ve throughout the U.S. with two teks of keys one start up your whip and the other start up your block retarded just like a Carter El Nino come take a sniff or take a few of you like the glass zit Stick shit in your artery ooouuu Hustlin's a part of me Niggas retardin me Come at the team wrong its like a see-saw They down and we up The pound heat clowns up I'm moving and re-up teks, blocks and keep gon' ?? and cocks like a school bus (why?) It make stops and it picks kids up and it wake up the block really early in the mornin Word, niggas want drama? Then line em up! Uh uh uh Line em up! Uh uh uh Line em up! Uh uh Line em up! I, I shut em down! Listen, if the coke stop jumpin and the block stop poppin Then Free still fuckin with Schi! M to the is-ash, come down with the gat take your sti-ash and kidnap your keeps One, puff in my face and the other go in your face Reatrded? This is a stick up if you slow then pick up the pace I came to take everything out your safe and even snatch all your jewelry (oouuu) Robbins a part of me, you just oughta be singin the same song when money low Ain't no parameters, snatch chains even honeys know amateurs get state green's and hit with 24 months From playin the game long, the eight long Make pockets short snatch hair and bones weight They been taking from us for too long it ain't wrong Line em up and I jam em all yo! They want a war with the Roc? OKAY! Cases catch 'em and beat 'em like O.J. I been stretchin my d's since the O'Jays Before I met Beans and Free, before Jay Homie, Pops never was there so I hustled 24 7 like the cops never was there Yeah, fuck a box cause the metal was there Fuck the cops cause the Fed's was paid I been settled for years, I'm ahead of my years Tuck the glock come pedal with K's We can settle it here We run with this beef, we runnin his peeps Like five in the mornin while they under them sheets (wake up) Like five gats drawn, soldiers come out they sleep Tell me what they gon' tell me when the gun out they reach Homie, we ain't gotta cheat Y'all ain't stopping Sig Young Gunner startin p. guard from State Property ",1939
His Conscience,,1939
The Fearful One," Strengthen the feeble The weak and fallen. Say to the fearful ones ""You're not forgotten"" Sing to the weary Speak for the silent with no voice The lord is coming now to save The lord is coming now to save You are God with us You are Emmanuel Never leave and never forsaken You are Emmanuel Shout for his glory Tell of his wonders Dance to the rhythms of his grace Ours sins forgiven Now death is broken by the cross Our lord is risen from the grave Our lord is risen from the grave You are God with us You are Emmanuel Never leave and never forsaken You are Emmanuel We live for you We hold to your promise We wait for you We hold to your promise We wait for you We hold to your promise We wait for you We hold to your promise Never leave and never forsaken You are Emmanuel You are God with us You are Emmanuel Never leave and never forsaken You are Emmanuel ",1939
