song,lyrics,year
El Maya, Ela é gostosa pra caralho Díficil de recusar Ela sabe que não pode Mas adora me tentar Safada Sabe que transa comigo do jeito que nenhuma transa Me abraça Pra dizer que vai embora Me beija Pra dizer que não pode ficar Tira minha roupa Mas jura não me amar Abre as pernas E me diz que eu não devia ter saído de lá Porque terminou comigo e continua ligando Sinceramente não consigo te entender Jura que eu não presto continua sentando Não ouviu aviões Se não me valorizar Prometo que vai me perder Tente não ficar com outro pensando em mim Isso machuca nois dois mo bê Juro não ficar com outra pensando em você Isso machuca nois dois mo bê ,1948
Les souvenirs," Je les entends Je les comprends Mais j'ai plus envie d'y croire Je les apprends comme un enfant Mais je ne veux plus les voir J'en vois passer J'en vois roder Mais maintenant ça ne m'aime plus J'en vois qui courent à mes côtés Sensation révolue Dans le courage et pour l'hommage Je me raccroche aux souvenirs Le temps qu'on calme Le temps d'un drame Je me raccroche aux souvenirs Pas qu'une photo mais un bonheur Pas qu'une chanson pour laquelle on pleure Me soutiennent dans mes propos Et m'entrainent trainent trainent Toujours plus haut Ils sont les conseils, l'assurance Ils sont les comptes et les avenirs Ils sont les rappels en confiance Bons ou mauvais on s'en inspire Je les relis Je les repasses Ça me ravis Ça me remplace Je les emploies Je les retraces en vain Dans le courage et pour l'hommage Je me raccroche aux souvenirs Le temps qu'on calme Le temps d'un drame Je me raccroche aux souvenirs Pas qu'une photo mais un bonheur Pas qu'une chanson pour laquelle on pleure Me soutiennent dans mes propos Et m'entrainent trainent trainent Toujours plus haut Je suis ici Je suis las-bas Rien n'est moins volage On a tous un peu dans le rêve Souvenirs confus qu'on embellis de plus belle Pour toute la vie un modèle Dans le courage et pour l'hommage Je me raccroche aux souvenirs Le temps qu'on calme Le temps d'un drame Je me raccroche aux souvenirs Pas qu'une photo mais un bonheur Pas qu'une chanson pour laquelle on pleure Me soutiennent dans mes propos Et m'entrainent trainent trainent Toujours plus haut ",1948
Hare Ram Hare," Magmula ng makilala kita, sinta Puso ko'y nagbago Isip ko ay naiba Dati-rati, pag-ibig ay laruan lamang Ngayon ay hindi na Kasing-tigas ng bato ang puso ko Bakit kaya? O, bakit kaya Nangyayari ito? Kung sino pa ang minamahal mo Siya pa ang hindi Hindi tapat sa 'yo Dapat lang kaya Na ikaw ay masisi ko, mahal? Sinabi ko noon sa 'yo Na wag mo naman akong palaruan Kasalanan ba Kung kita'y mahalin, hirang? Ang sabi nga sa akin Baka lamang ito'y pagsisihan sa hulihan Bakit kaya? O, bakit kaya Nangyayari ito? Kung sino pa ang minamahal mo Siya pa ang hindi Hindi tapat sa 'yo O, pag-ibig Bakit kay lupit mo sa tao? Ngayon ay nakita ko Ang tunay na damdamin ng puso ko Naririto Sa Diyos lamang, sa Diyos lamang Pag-ibig na walang hanggan Sa Diyos lamang, sa Diyos lamang Hindi na masasaktan Pag-ibig ng Diyos lamang, sa Diyos lamang Hindi na masasaktan O, sa Diyos lamang. O, sa Diyos lamang Pag-ibig na walang hanggan O, sa Diyos lamang, Oh oh hoh Hare Krishna, Hare Krishna Krshna Krshna, Hare Hare Hare Rama, Hare Rama Rama Rama, Hare Hare ",1948
I Love a Mystery," Real, almost real I could feel the life flow into my veins Done, now it's done I have fallen for the final time I can't get up again Love's a mystery I don't understand Love's supposed to make you glad Tell me why I feel so sad Love's a mystery I don't understand I won't see you anymore And if that's what love is for Then I don't understand Free, now you're free You don't need me And you don't want what I give (Baby here is my heart) Please, help me please 'Cause if life is made for hearts in love Then how am I to live Love's a mystery I don't understand It's so hard to be alone When the one you love is gone Love's a mystery I don't understand You won't stay another day And if that's all you can say Then I don't understand ",1948
Les cadeaux,,1948
Les jeunes filles," There's a little sting in my heart That no one can see There’s no use yanking hard On its rusty seems And this little thorn in my heart Bitterly defined Has a taste has a smell Envenoms my dreams Cause baby that's you - Quand tu vis In the middle of me - Dans ma voix We're never getting better better, yet - T’as plus peur And baby that's you - Tu me suis And I want you to feel - Et tu vois We're never getting better better - Le meilleur, le meilleur J’suis une petite voix dans ton coeur Que personne ne peut voir Une voix dans ta tête Qui ne s’arrête jamais J’suis une petite voix dans ton coeur Qui ne peut plus sortir Une chose merveilleuse Que personne ne peut croire Cause baby that's you - Quand tu vis In the middle of me - Dans ma voix We're never getting better better, yet - T’as plus peur And baby that's you - Tu me suis And I want you to feel - Et tu vois We're never getting better better - Le meilleur, le meilleur Cause baby that's you - Quand tu vois Give a sign you feel - Dans mes yeux We're never getting better better, yet - T’as plus peur Darling don't undo - Tu t’oublies The spell and pursue - Si tu vis The trail to getting better - Le monde tel que je suis Tu me baiseras des baisers de ta bouche Nothing's worth your poison, nothing matches this pain Mon amour t’entraînera plus haut si tu me touches Get drunk on your juice, last psychotic game Tes odeurs, mes huiles, ta beauté ruisselante Nothing's worth your poison, nothing matches this pain Les jeunes filles en frémissent et toi de mort lente ",1948
"""Paludes"""," ""Mentre solcavamo l'immobile palude Mi si parò davanti uno spirito coperto di fango Allungò verso la barca entrambe le mani ma Virgilio pronto lo respinse Dicendogli, ""Via di qui, vattene a stare con gli altri maledetti!"" Ed io :"" Maestro sarei molto, molto desideroso, prima di uscire dalla palude, di vederlo immergere in questa melma"" Poco dopo vidi gli iracondi fare di lui un tale scempio Che per esso ancora glorifico e rendo grazie a Dio"" Tutti insieme gridavano: A Filippo Argenti A Filippo Argenti"" Ciao Dante, ti ricordi di me? Sono Filippo Argenti Il vicino di casa che nella Commedia ponesti tra questi violenti Sono quello che annega nel fango, pestato dai demoni intorno Cos'è vuoi provocarmi, sommo? Puoi solo provocarmi sonno! Alighieri, vedi, tremi, mi temi come gli eritemi, eri te che mi deridevi Devi combattere Ma te la dai a gambe levate, ma quale vate? Vattene! Ehi, quando quando vuoi, dimmi dimmi dove! Sono dannato ma te le do di santa ragione! Così impari a rimare male di me Io non ti maledirei, ti farei male Alighieri Non sei divino, individuo, se t’individuo, ti divido! Inutile che decanti l’amante, Dante, provochi solo cali di libido Il mondo non è dei poeti, il mondo è di noi prepotenti Vai rimando alla genti che mi getti nel fango, ma io rimango l’Argenti! Argenti vive, vive e vivrà, sono ancora il più temuto della città Sono ancora il più rispettato, quindi cosa t’inventi? Se questo mondo è l’Inferno allora sappi che appartiene a Filippo Argenti Poeta tu mostri lo sdegno a Filippo Argenti Ma tutti consacrano questo regno a Filippo Argenti Le tue terzine sono carta straccia Le mie cinquine sulla tua faccia lasciano il segno Poeta tu mostri lo sdegno a Filippo Argenti Ma tutti consacrano questo regno a Filippo Argenti Le tue terzine sono carta straccia Le mie cinquine sulla tua faccia lasciano il segno Non è vero che la lingua ferisce più della spada, è una cazzata Cosa pensi che tenga più a bada, rima baciata o mazza chiodata? Non c’è dittatore che abdichi perché persuaso Pare che nessuno sappia nemmeno che significhi ""abdicare"", ma di che parliamo? Attaccare me non ti redime (no!), eri tu che davi direttive (no!) Per annichilire ogni ghibellino, Cerchio 7, giro primo! Fatti non foste per vivere come bruti, ben detta Ma sputi vendetta dalla barchetta di Flegias Complimenti per la regia Argenti vive, vive, vivrà, alla gente piace la mia ferocità, persino tu che mi anneghi a furia di calci sui denti, ti chiami Dante Alighieri, ma somigli negli atteggiamenti, a Filippo Argenti Poeta tu mostri lo sdegno a Filippo Argenti Ma tutti consacrano questo regno a Filippo Argenti Le tue terzine sono carta straccia Le mie cinquine sulla tua faccia lasciano il segno Poeta tu mostri lo sdegno a Filippo Argenti Ma tutti consacrano questo regno a Filippo Argenti Le tue terzine sono carta straccia Le mie cinquine sulla tua faccia lasciano il segno Stai lontano dalle fiamme, perché ti bruci Guardati le spalle, caro Dante, è pieno di Bruti Tutti i grandi oratori sono stati fatti fuori Da signori, violenti e nerboruti Anche gli alberi sgomitano per un po’ di sole Il resto sono solo inutili belle parole Sono sicuro che in futuro le giovani menti Saranno come l’Argenti e l’arte porterà il mio nome Filippo Argenti! Filippo Argenti! Filippo Argenti! Filippo Argenti! ""Lo lasciammo là, nella palude, non vi racconto altro."" ",1949
Girl Crazy: I Got Rhythm, I got rhythm I got music I got my man Who could ask for anything more? I got daisies In green pastures I got my man Who could ask for anything more? Old man trouble I don't mind him You won't find him 'round my door I got starlight I got sweet dreams I got my man Who could ask for anything more? Who could ask for anything more? ,1949
Hai Hai Re Hai,,1949
Şeker, Dur dur dur dur Bakma öyle bakma öyle Çık damarımdan Yok yok yok yok Yapma böyle yapma böyle Gitmem yanından Çalma öyle gelme böyle Dön kapımdan Deme öyle onu söyleme Kork cevabımdan Hakkında her şeyi duymak istiyorum Bu aşk değil de nedir Aklımda hep yine görmek yine öpmek filan Her şeyi tek tek anlat istiyorum Bu aşk değil de nedir Aklımda hep yine görmek yine öpmek filan Güm güm güm güm Atma kalbim atma şöyle Duyulur dışardan Çok çok çok çok çok İsteme çok isteme koparız hayattan Çalma öyle gelme böyle Dön kapımdan Kokma şöyle kokma böyle Çık rüzgarımdan Hakkında her şeyi duymak istiyorum Bu aşk değil de nedir Aklımda hep yine görmek yine öpmek filan Her şeyi tek tek anlat istiyorum Bu aşk değil de nedir Aklımda hep yine görmek yine öpmek filan Senden önce her şeyi silmek istiyorum Bu aşk değil de nedir Aklımda hep yine görmek yine öpmek filan Sadece adını duymak istiyorum Bu aşk değil de nedir Aklımda hep yine görmek yine öpmek filan ,1949
Mother Goose Songs, As I did walk by Hampstead Fair I came upon Mother Goose - so I turned her loose She was screaming And a foreign student said to me Was it really true there are elephants and lions too In Piccadilly Circus? Walked down by the bathing pond To try and catch some sun Saw at least a hundred schoolgirls sobbing Into handkerchiefs as one I don't believe they knew I was a schoolboy And a bearded lady said to me If you start your raving and your misbehaving You'll be sorry Then the chicken-fancier came to play With his long red beard (and his sister's weird: She drives a lorry) Laughed down by the putting green I popped 'em in their holes Four and twenty labourers were labouring Digging up their gold I don't believe they knew That I was Long John Silver Saw Johnny Scarecrow make his rounds In his jet-black mac (which he won't give back) Stole it from a snowman ,1949
'Twas the Night Before Christmas," Twas the night before Christmas, when all through the house not a creature was stirring, not even a mouse. The stockings were hung by the chimney with care, in hopes that St. Nicholas soon would be there. The children were nestled all snug in their beds, while visions of sugar plums danced in their heads. And Mama in her 'kerchief, and I in my cap, had just settled our brains for a long winter's nap. When out on the roof there arose such a clatter, I sprang from my bed to see what was the matter. Away to the window I flew like a flash, tore open the shutter, and threw up the sash. The moon on the breast of the new-fallen snow gave the lustre of midday to objects below, when, what to my wondering eyes should appear, but a miniature sleigh and eight tiny reindeer. With a little old driver, so lively and quick, I knew in a moment it must be St. Nick. More rapid than eagles, his coursers they came, and he whistled and shouted and called them by name: ""Now Dasher! Now Dancer! Now, Prancer and Vixen! On, Comet! On, Cupid! On, Donner and Blitzen! To the top of the porch! To the top of the wall! Now dash away! Dash away! Dash away all!"" As dry leaves that before the wild hurricane fly, when they meet with an obstacle, mount to the sky so up to the house-top the coursers they flew, with the sleigh full of toys, and St. Nicholas too. And then, in a twinkling, I heard on the roof the prancing and pawing of each little hoof. As I drew in my head and was turning around, down the chimney St. Nicholas came with a bound. He was dressed all in fur, from his head to his foot, and his clothes were all tarnished with ashes and soot. A bundle of toys he had flung on his back, and he looked like a peddler just opening his pack. His eyes--how they twinkled! His dimples, how merry! His cheeks were like roses, his nose like a cherry! His droll little mouth was drawn up like a bow, and the beard on his chin was as white as the snow. The stump of a pipe he held tight in his teeth, and the smoke it encircled his head like a wreath. He had a broad face and a little round belly, that shook when he laughed, like a bowl full of jelly. He was chubby and plump, a right jolly old elf, and I laughed when I saw him, in spite of myself. A wink of his eye and a twist of his head soon gave me to know I had nothing to dread. He spoke not a word, but went straight to his work, and filled all the stockings, then turned with a jerk. And laying his finger aside of his nose, and giving a nod, up the chimney he rose. He sprang to his sleigh, to his team gave a whistle, And away they all flew like the down of a thistle. But I heard him exclaim, 'ere he drove out of sight, ""Merry Christmas to all, and to all a good night!"" ",1949
Mambo No. 5," Ladies and gentlemen This is Mambo No. 5! One, two, three, four, five Everybody in the car, so come on let's ride To the liquor store around the corner The boys say they want some gin and juice But I really don't wanna Beer bust, like I had last week I must stay deep, 'cause talk is cheap I like Angela, Pamela, Sandra and Rita And as I continue you know they're getting sweeter So what can I do? I really beg you, my Lord To me flirting is just like a sport Anything fly, it's all good let me dump it Please set in the trumpet A little bit of Monica in my life A little bit of Erica by my side A little bit of Rita is all I need A little bit of Tina is what I see A little bit of Sandra in the sun A little bit of Mary all night long A little bit of Jessica here I am A little bit of you makes me your man Mambo No. 5! Jump up and down and move it all around Shake your head to the sound Put your hands on the ground Take one step left and one step right One to the front and one to the side Clap your hands once and clap your hands twice And if it looks like this then you're doing it right A little bit of Monica in my life A little bit of Erica by my side A little bit of Rita is all I need A little bit of Tina is what I see A little bit of Sandra in the sun A little bit of Mary all night long A little bit of Jessica here I am A little bit of you makes me your man Trumpet! The trumpet! Mambo No. 5! (Ha ha ha) A little bit of Monica in my life A little bit of Erica by my side A little bit of Rita is all I need A little bit of Tina is what I see A little bit of Sandra in the sun A little bit of Mary all night long A little bit of Jessica here I am A little bit of you makes me your man I do ought to Fall in love with a girl like you Cause you can't run, you can't hide You and me gonna touch the sky Mambo No. 5! ",1949
Mary And Martha," Troublin’ mind, troublin’ mind, Troublin’ mind, troublin’ mind Troublin’ mind, troublin’ mind, Troublin’ mind, troublin’ mind Troublin’ mind, troublin’ mind, Troublin’ mind, troublin’ mind God’s gonna ease my troublin’ mind. Mary and Martha, Peter and John Mary and Martha, Peter and John Mary and Martha, Peter and John They had trouble all night long. Down by the graveyard’s stood and tall Down by the graveyard’s stood and tall Down by the graveyard’s stood and tall There laid the long rail as well as the short. If you get there before I do If you get there before I do If you get there before I do You can tell my friends I’m a comin’ too. ",1949
Présentation," And now, my dear, when good is done 'Twould be remiss not to reward the gracious one And thou art she, the League has found Who laid our fallen brother in the ground To she, our Queen, we raise our claws 'Twould be remiss of us not to unite our paws And serenade her with our tune So thus it falls to me as our tribune To now present you with the Biggest Spoon Biggest Spoon... Ahem... If you don't mind, my lady I'll leave the tunnel open That we may meet again Oh yes, of course, Sir Edward I almost forgot to thank you For the pencil, I mean 'Twas my pleasure, my Queen ",1949
John Henry," These days aint so easy mama gotta watch your back I take my whiskey straight chewin' on pieces from my past And I'm no John Henry I do my best With this guitar strapped to my back child, I'm headed west Go to sleep when the sun comes up now on this deadbeat town Come alive in the moonlight mama when that sun goes down And I'm no John Henry I do my best With this guitar strapped to my back child I'm headed west Walk away from my grave with these boots still on Lord a soul needs savin' so I grab my gun, so I grab my gun And I'm no John Henry I do my best With this guitar strapped to my back child, I'm headed west ",1949
Shine On Me, If we're to be the light That shines for all of man Then how can we light the way If we don't go to them I believe to know God's heart Is to meet them where they are Won't you shine on Won't you shine on You can shine on Shine on In all that's said and done And everything you do Just let your life glorify The one who shines on you I believe we worship Christ When we show the world His light Won't you shine on Won't you shine on You can shine on Shine on Shine on Shine on Won't you shine on Won't you shine on You can shine on Shine on Won't you shine on Won't you shine on You can shine on Shine on ,1949
Rain or Hail," We're late to bed We're early to rise Wipe the sleep from our eyes We head to work We catch a lift We have a smoke and we start the shift We open up We start to wake Maybe it's gonna be our day And suddenly We start to smile The sun is up for a while And you may see this place and find no worth But it's our little piece of heaven here on Earth Yeah, we always have a good time Whether it's hail rain or in sunshine Yeah, we're all living the good life Whether it's hail rain or in sunshine We reach the top We took the fall But we laughed through it all 'Cause dreaming of them better days Has always been our way And you may see my friends and find no worth But, no, I'll never go and change them for the world Yeah, we always have a good time Whether it's hail rain or in sunshine Yeah, we're all living the good life Whether it's hail rain or in sunshine Come on Yeah, we always have a good time Whether it's hail rain or in sunshine Always have a good time Whether it's hail rain or in sunshine Yeah, we're all living the good life Whether it's hail rain or in sunshine ",1950
