song,lyrics,year
Rudolph the Red-Nosed Reindeer," You Know there's Dasher and Dancer and Prancer and Vixen. Comet and Cupid an Donner and Blitzen. Oh, but do you recall... The most famous reindeer of all? Whoa-o-o-o-o His name is... Rudolph, the red-nosed reindeer. Had a very shiny nose. And if you ever saw it. You would even say it glows. All of the other, other, other reindeer. Used to laugh and call him names. They never let poor Rudolph. Join in any reindeer games. (Then one foggy Christmas eve) You know (Santa came to say...) (Hey Rudolph) You, with your nose so bright. Melvin: Come on, come on, come on, come on and guide my sleigh tonight. Then how the reindeer loved him. As they shouted out with glee. (Hey Rudolph) Rudolph, the red-nosed reindeer. You'll go down in history. (Then one foggy Christmas eve) Santa came to say... (Hey Rudolph) You, with your nose so bright. Melvin: Come on, come on, come on, come on and guide my sleigh tonight. Then how the reindeer loved him. As they shouted out with glee. (Hey Rudolph) Rudolph, the red-nosed reindeer. You'll go down in history. Ooo, Rudolph, come on and guide my sleigh. Ooo, Rudolph, come on and guide my sleigh. Hey, hey, hey, Rudolph, come on and guide my sleigh tonight. Hey, hey, hey, Rudolph, with your nose so bright. ",1952
Swing House," On and just on, and I'm a swing it Wach me bring to the next level To grab DeNevel's Getting funky like the devil Brothers from the Bijou So why you wanna trip Just play the side lines Kid, and wait for me to slip Cause I can feel it in the ait tonight But yo I'm not Phil Collins Or, unlike Henry Rollins Cause I'm search and destroy You wanna toy wit the plot Tryin to get what I got You might get- shot Hot damn manna's son Ya got ebonics They teach ya how to write I'm writing like I'm hooked on phonics Mother goose aint got shit on me Cause I'll get loose at the jam And wreck the whole party I make 'em jump and mosh Oh my gosh Just slammin in the pit While I'm kickin my shit They buggin in the isles Cause I got madd styles And aint a damn thing funny I get money in piles Some poeple thought I'd die Thats just a rumour, though Others thought I'd follow up But now I'm numero- Uno, Dos, not Quatro Word to Kool Keith I'm a break up ya teeth When I die, Bury me (me) Hang my balls on the cherry tree (tree) Let them git ripe Then take a bite And if they don't taste right Then dont blame D You need to quit swingin, The styles that I'm bringin The Funk knuckled dragon Who gits on the wagon I'm not the 12 stepper Dont play me like a lever My mike sounds nice But it's not salt and pepper Well it's the man With the plan To get all your skins The tip on my dick Is where the line begins Wit all those former lines Take off that swine I'll git your ass Butt-naked Lets see if you can take it Cause I'll make you feel Like a natural woman Cause I keep it comin I'm the everlastin' Free style assasin With soul in my goal Is to bring a little passion To your girl's life like the daily soaps Throw down on the bed And tie her up with ropes The Lyrics keep on and just on and The Lyrics keep on and just on and The Lyrics keep on and just on and On and just on and on and just on and I'm just another ranger with the Derry face Punk motherfucker in the prime of my race You need step back, kid And give me some space and rock the cold shot At the party When I'm rockin the place Danny Boy's arrivin With the standar 65 In the heft dont laugh kid The graft is survivin The out law bike With my bitch thats on the Highway to hell Cause I never tell Well it's the funk back breaker Weeded up like Jamaica Dont bring your woman to the party Cause I'll taker Hit the deck Cause I'm down wit the hoolies I got a trunk Full of funk Like the Groovey Doolies I'm not the man Brotha asked who was he Quik's got the hair do Just like Ruth Buzzy runnin' round Like you been to jail, son But ya hit the swatly To get your hair and your nails done Get off my sack Cause your shit is wack Ya diss me And I'm a diss you back ",1952
The King's New Clothes," Hey yeah yeah Give up that booze And take out the trash Give up the night life And stop smoking that hash Give up the good sex It's a heart attack Surrender life Wrap it up in a sack All dressed up in the king's new clothes Climbing up the monkey's nose Standing out like a stiff on parade You're overworked and underpaid Jello man, jello man Got you on the run Jello man, jello man Blocking out the sun Jello man, jello man Beating on his drum Jello man, jello man Got you on the run yeah Stop all the traffic Put this time on hold Stop all the press Cos it's been bought and sold Stop the revolution There's nothing left to fight Will the last man standing Turn out the light Standing out with the freaks in the cold Sucking down on a Virginia gold The cabaret's all dressed for the kill They'll stiff you now and give you the bill Jello man, jello man Got you on the run Jello man, jello man Blocking out the sun Jello man, jello man Beating on his drum Jello man, jello man Got you on the run yeah Jello man, jello man Got you on the run Jello man, jello man Blocking out the sun Jello man, jello man Beating on his drum Jello man, jello man Got you on the run yeah Jello Man ",1952
There's A New Sound, Locomotive won't stop Locomotive ain't never gonna quit Locomotive made of iron and steel Locomotive I am you From the East Bay garage to the radio dial We've been noted for our combative style You never give up with no chance to win We know who you are And we've been where you've been Locomotive won't stop Locomotive ain't never gonna quit Locomotive made of iron and steel Locomotive I am you The Wall Street Bailout is crooked and stacked The burdens gonna end up on the working man's back I know times are changing and there's a new sound I'm glad you all made it It's good to have you around Locomotive won't stop Locomotive ain't never gonna quit Locomotive made of iron and steel Locomotive I am you I am you ,1952
Sweet Betsy from Pike," (Didli ai di ai didl didli ai di ai dei) Oh, do you remember sweet Betsy from Pike She crossed the big mountains with her lover Ike With two yoke of oxen and a big yellow dog And a tall Shanghai rooster and one spottled hog. Didli ai di ai didl didli ai di ai dei They soon reached the desert where Betsy gave out And down in the sand she lay rolling about While Ike in great tears looked on in surprise Saying Betsy get up you'll get sand in your eyes. Didli ai di ai didl didli ai di ai dei Betsy got up in the great deal of pain She said she'd go back to Pike County again But I gave a sigh then he fondly embraced And he traveled along with his arm round her waist. (How can sweet Betsy went out to the dance And Ike poor a fellow he's down at his pance) Betsy was dressed up in ribbons and rings Said Iken you're an angel but where are your wings. Didli ai di ai didl didli ai di ai dei Well, the miner said Betsy will you dance with me She answere I will if you want make two free I can't dance too hard do you want to know why Because I'm so full of that strong out cooli. Ike and sweet Betsy got married of course But Ike was so jealous he gotta divorce And Betsy well satidfied said with a shout Goodbye forever I'm glad you've backed out. Didli ai di ai didl didli ai di ai dei... ",1952
Tea For Two," I'm discontented with homes that I've rented So I have invented my own. Darling, this place is lovely oasis Where life's weary taste is unknown Far from the crowded city Where flowers pretty caress the stream Cozy to hide in, to live side by side in, Don't let it apart in my dream Picture me upon your knee Just tea for two And two for tea Just me for you And you for me alone Nobody near us to see us or hear us No friends or relations On weekend vacations We won't have it known That we own a telephone, dear Day will break and I'll wake And start to bake a sugar cake For you to take for all the boys to see We will raise a family A boy for you And a girl for me Can't you see how happy we would be Picture you upon my knee Just tea for two And two for tea Just me for you And you for me alone Nobody near us to see us or hear us No friends or relations On weekend vacations We won't have it known That we own a telephone, dear Day will break, you'll wake And start to bake a sugar cake For you to take for all the boys to see We will raise a family A boy for you And a girl for me Can't you see how happy we would be ",1952
Rien Dans Les Mains Rien Dans Les Poches," Donnez, donnez, donnez aux pauvres gueux Donner, donner, c'est prêter au bon Dieu Donnez, donnez, belles Dames, jolis Messieurs Donner, donner, c'est gagner sa place aux cieux Bonjour, Paris, c'est moi, Gavroche V'la ma famille, v'la ma maison Rien dans les mains, rien dans les poches Tout dans le coeur de ma chanson J'ai pas de sous et pourtant j'me démerde Et j'y vois clair, surtout la nuit De la Glacière à Belleville Et de Montmartre à Montsouris Les timides, les caïds, suivez l'guide! Donnez, donnez, donnez aux pauvres gueux Donner, donner, c'est prêter au bon Dieu Donnez, donnez, belles Dames, jolis Messieurs Donner, donner, c'est gagner sa place aux cieux Faut qu'j'affranchisse les gens d'la haute C'est pas Versailles pour l'élégance Mais d'puis qu'on a raccourci l'autre Versailles, ça manque plutôt d'ambiance C'est pas qu'le diable qu'on a aux Tuileries Soit plus malin qu'le serrurier J'aime bien sa poire mais qu'en effigie Frappée sur les pièces de monnaie Vive moi, pas le roi, ça ira, ça ira! Heureusement qu'chez les gens d'la haute Y en a qui regardent en bas! On a le général Lamarque Qui parle un peu de nous, parfois. Y paraît qu'il est bien malade. Qu'est-ce qu'on f'ra quand il s'en ira? Avec l'émeute déjà qui gronde Paris ressemble à un volcan Prêt à vomir la lave de sa colère Enfin révolutionnaire! Le chef de c'te bande qui complote C'est Thénardier, de Montfermeil Qu'a lâché là-bas sa gargote Parce qu'à Paname, y a plus d'oseille Çui-là, y fait bosser toute sa famille Même sa gamine piège les pigeons C'est l'Éponine, Gavroche en jupons Qu'a l'coeur qui flanche pour pas un rond Y fait faim, y fait froid, mais au moins, j'm'ennuie pas Donnez, donnez, donnez aux pauvres gueux Donner, donner, c'est prêter au bon Dieu Donnez, donnez, belles Dames, jolis Messieurs Donner, donner, c'est gagner sa place aux cieux Répétition, chacun son poste Babet, Claquesous, en place Toi, Montparnasse, tu fais le guet Avec 'Ponine, faites bien gaffe J'ai pas envie, non, de r'voir l'maton J'y fais d'abord mon numéro Méli-malheur-mélo S'il a du coeur, deux thunes qu'y pleure Qu'y crie bravo, encore, bis C'est là qu'on cogne sec Jusqu'à c'qu'y casque Voilà l'étudiant qui s'amène Notre voisin déshérité Par un grand-père qu'a de la fraîche Et qui veut pas lui en lâcher Bonjour Mademoiselle Éponine Que faites-vous dans le quartier? Des choses que la morale réprime Pour qu'ce soir, on ait à manger ",1952
Mr. Garfield, Mr. Garfield been shot down shot down shot down Mr. Garfield been shot down low Me and my brother was down close to the depot when I heard the report of a pistol My brother run out and come back in all excited And I said what was it and he said it was the report of a pistol and then he said Mr. Garfield been shot down shot down shot down Mr. Garfield been shot down low Lord I knew the President was supposed to be at the depot that day And we just would't believe that he's shot But we'd run over there and there was so many folks around That we couldn't see him but some lady was standin' there cryin' And I said m'am what was it that happened m'am and she said Mr. Garfield been shot down shot down shot down Mr. Garfield been shot down low Well everybody drifted off toward home finally And they looked like they felt about as bad as I did But in a few weeks I heard that the President was still alive And I told my brother I said let's get on that train and go to where he's laid up hurt Well when we got to his big house up there I asked the fellow I said who was it that did it who was it that shoot the President And he said it was Charlie Guiteau that shoot Mr. Garfield and I said Charlie Guiteau done shot down a good man good man Charlie Guiteau done shot down a good man low I heard some fellow there that had been in the house to see the President And I sidled up him to listen to what he was tellin' and he said Mrs Lucretia Garfield was always at his side In the heat of the day fannin' him when he was hot He said that just that day the President said to Mrs Lucretia He said Crete honey (he called her Crete) Said if somethin' worse happens to me after awhile you get yourself a good man And Mrs Lucretia said James (she called him James) She said I won't hear to that now she said I love you too much but he said You'll make some good man a good wife good wife You'll make some man a good good good wife (Don't pull in single harness all your life good gal Don't pull in single harness all your life) That's what he said don't pull in single harness all your life Well a few days later I come back to where the President was restin' And it seems everybody was cryin' The flag was hangin' halfway up to the flagpole in front of the house And everybody looked so sad and I asked a soldier boy there And I said is is is Mr. Garfield and he said yeah he's gone Gonna lay him in that cold lonesome ground down low Gonna lay him in that cold lonesome ground Well they laid the President by that long cold branch Mr. Garfield's been laid down low Mr. Garfield has been shot dow Mr. Garfield's been shot (Mr. Garfield been shot down shot down shot down Mr. Garfield been shot down low) ,1953
"Hello, Hazel", You left your coat in my car A fortunate excuse to take it anywhere you are You got yourself under my skin A permanent reminder of my temporary times with you You left your words on my lips The sweetest little song and I taste every little bit You left your light in my eyes Reminding me relentlessly how time just slips away with you Hello it's me Can I come over You see I've got your favorite coat It could be cold and rain tomorrow I couldn't stand to see you soaked I've got your face in my head A little piece of you I have until we meet again You left your sweat on my skin Reminding me relentlessly how time just slips away with you Hello it's me Can I come over You see I've got your favorite coat It could be cold and rain tomorrow I couldn't stand to see you soaked Hello it's me And it's no problem I was already in my car It would be nice if I could see you I'll take you anywhere you are It's two steps forward one step back I get so nervous that I crack I've got so much I want to tell you I just don't know what to say You know when pushing come to shove You've got me hypnotized my love I've got so much I want to give you I just don't know what to say sometimes Hello it's me Can I come over You see I've got your favorite coat It could be cold and rain tomorrow I couldn't stand to see you soaked Hello it's me And it's no problem I was already in my car It would be nice if I could see you I'll take you anywhere you are ,1953
Sur le Pont d'Avignon," Ok, FuentesVie, SantosVie J'fais que du sale sur Périscope, oui Damso, OPG, dans le block Belgium Vie, Marc Wilmots 92i, big up à Kopp J'fais que du sale sur Périscope Fruity Loops, noires sont les notes J'la baise dans l'cul, j'paye pas la dot Dans mes peuclis, j'fume d'la drogue Je n'ris qu'sous protoxyde d'azote Mon maître majeur dans sa tte-cha, c'est la noyade J'suis suspecté comme si j'venais d'sortir d'chez Jawad J'n'ai pas l'temps pour les tchoins Sauf si j'les fuck gratuitement Négro, allume un joint On n'fume pas d'clope dans l'appartement Toujours caleçon à l'air, mon bas fess' est un impeccable J'te prends que par derrière comme passagère sur ma bécane J'mettrai tout sur les réseaux, oui oui, ta chatte sera ruinée J'vais te cramer au monde entier, grillé, j'vais te Serge Aurier J'respecte beurettes et imams Jugement d'vautour j'laisse à Dieu Négro, j'suis Morgan Freeman Depuis toujours j'suis ton vieux J'nique des chattes et des vétérinaires sur le pont d'Avignon ""T'es parti trop tôt comme Hitler"" a dit le nazillon Damso, ouais Ménagère j'nettoie au Glock Batterie faible, recharge le stock Dans la clique y'a que des locks Armés dans l'clip comme Roi Heenok J'fais que du sale sur Périscope J'fais que du sale sur Périscope J'fais que du sale sur Périscope J'fais que du sale sur Périscope Ménagère j'nettoie au Glock Batterie faible, recharge le stock Dans la clique y'a que des locks Armés dans l'clip comme Roi Heenok J'fais que du sale sur Périscope J'fais que du sale sur Périscope J'fais que du sale sur Périscope J'fais que du sale sur Périscope Vie ",1953
Jüpiter," I wrote it down in the winter of 1610. Just a secret under lock and key until then. While collecting the stars, I connected the dots. I don’t know who I am, but now I know who I’m not. I’m just a curious speck that got caught up in orbit. Like a magnet it beckoned my metals toward it. Make my messes matter. Make this chaos count. Let every little fracture in me Shatter out loud. Make my messes matter. Make this chaos count. Let every little fracture in me Shatter out loud. ",1953
Family Background," Standin' on side of the highway 4 exit A lady in tie die, a bag by her side Not really lookin' like anything special Saw Tennessee tags and she waved for a ride Sat right beside me as the meter hit sixty Explainin' her travels and her family background When she got thru I could not help but thinkin' She's a long way from a West Nashville grand ballroom gown Her father had money and her mother had love Channeled entirely to her dear sister Dove Twenty-two years in societies plan Canceled at the swing of her dear mothers hand Six hours later we hit Cincinnati Yawning she woke and asked where we were When she found out she said ""I must be going"" This close to Nashville was too close for her So I stopped by the roadside and I gave her five dollars She took it then kissed me and gave me a note She told me just to read it then mail it in Nashville On old loose leaf paper to her mother she wrote She said Momma I'm fine if you happen to wonder I don't have much money but I still get around I haven't made church in near thirty-six Sundays So fuck all those West Nashville grand ballroom gowns Yea, she's a long way from the West Nashville grand ballroom gowns ",1953
If You Loved Me Truly," Oh Julie, if you love me truly Do you want me, Julie? To be, to be your very own Julie, won't you hold me Julie, don't be lonely 'Cause I want you only To be, to be my very own Baby, don't leave me Honey, don't grieve me Julie, why leave me alone Stay with me, baby Play with me,baby Honey, don't leave me alone Julie, never leave me Please don't deceive me Julie, oh believe me And be, and be my very own Oh Julie, if you love me truly Do you want me, Julie? To be, to be your very own Baby, don't leave me Honey, don't grieve me Julie, why leave me alone Stay with me, baby Play with me, baby Honey, don't leave me alone Julie, never leave me Please don't deceive me Julie, oh believe me And be, and be my very own To be, to be, to be To be, my very own To be, to be, to be To be my very own ",1953
Little Bird, I got a little bird i'm gonna take her home put her in a cage and disconnect the phone if you give me a look i'm gonna get the book i'm gonna preach the word i wanna preach to birds as i walk the floor yeah this i know when i get you home this is how it goes i got nothing to lose i'll never let you go ,1953
